253,126
254,143
256,160
260,177
266,193
275,207
287,218
301,227
317,230
333,227
347,218
360,206
369,192
375,176
378,159
380,142
381,125
263,110
271,102
282,99
294,100
305,104
327,104
338,99
350,98
361,101
369,109
316,119
316,130
316,141
316,152
304,161
310,163
316,165
323,163
329,161
276,123
283,120
292,119
299,124
291,126
283,126
333,124
341,119
349,119
357,123
350,126
341,126
293,186
301,180
310,177
316,178
323,177
332,180
341,186
333,195
324,199
317,200
310,200
301,196
297,186
310,183
316,184
323,183
337,186
323,190
316,191
310,190
